,POSTS,REACTIONS,REACTIONS_AVERAGE,INDEX,POLARITY,SUBJECTIVITY,SIMILARITY_TO_BEST,POST_LENGTH,NUMBER_OF_ENTS
0,"Na terenie AGH rusza budowa budynku D3, w którym mieścić będą się pomieszczenia Wydziału Inżynierii Mechanicznej i Robotyki oraz Space Technology Centre AGH UST Budynek D3 zaprojektowano jako obiekt o sześciu kondygnacjach, na rzucie prostokąta. Będzie zachodnim skrzydłem budynku S1 i symetrycznym odwzorowaniem skrzydła wschodniego Ciężki sprzęt do prowadzenia badań laboratoryjnych oraz testowane samochody osobowe będą wprowadzane do laboratoriów na poziomie piwnic i parteru przy pomocy projektowanego od strony zachodniej podnośnika hydraulicznego nożycowego, dostępnego z poziomu terenu Podstawowe parametry obiektu: powierzchnia zabudowy: 630,07 m2 (w tym laboratorium technologiczne: 52,80 m2) powierzchnia użytkowa (z komunikacją): 2876,08 m2 powierzchnia całkowita: 3456,13 m2 kubatura: 14 286,60 m3 wysokość: 20,70 m liczba kondygnacji: 6 (w tym jedna podziemna) Za budowę odpowiedzialna jest firma BAUDZIEDZIC .",39,123.71844660194175,0.31523189201914775,0.0,0.0,0.5763690401229241,138,5
1,"Inżynierowie z Wydziału Elektroniki, Automatyki, Informatyki i Inżynierii Biomedycznej AGH pracują nad innowacyjną metodą wykrywania chorób Parkinsona i Huntingtona Gogle MR VR pozwalają na precyzyjne odwzorowanie ruchów użytkownika cyfrowej rzeczywistości. Jest to możliwe dzięki szeregowi wbudowanych sensorów. Naukowcy z WEAIiIB postanowili wykorzystać ich możliwości tworzenia i przetwarzania sygnałów w celu diagnozowania chorób neurodegeneracyjnych w ramach projektu dofinansowanego z programu LIDER Narodowe Centrum Badań i Rozwoju . Rzeczywistość mieszana (w odróżnieniu od rzeczywistości wirtualnej) jest hybrydą świata realnego z elementami świata cyfrowego, którymi można manipulować. W sposób profesjonalny jest aktualnie wykorzystywana np. przez lekarzy w treningach zabiegowych na hologramach organu pacjenta lub techników, którzy mogą w ten sposób planować montaż elementów w przestrzeni. Jak chcą to wykorzystać inżynierowie z AGH? Dzięki mieszanej rzeczywistości pacjentowi może zostać wyświetlona postać lekarza, który poprosi o wykonanie jednej lub kilku czynności jednocześnie, np. przejście kilku kroków, wykonanie określonych ruchów rękami lub wypowiedzenie kilku słów. W tym samym czasie system będzie rejestrował dane, które mogą być istotne dla postawienia diagnozy. Oprócz tego będzie śledził sakkady, czyli mimowolne ruchy gałek ocznych, które u chorych wyglądają inaczej niż u osób zdrowych Celem naukowców jest opracowanie rozwiązania, które będzie pozwalało na postawienie poprawnej diagnozy z 80 skutecznością. Cel jest ambitny, ponieważ byłoby to pierwsze na świecie narzędzie, które pozwala na jednoczesną rejestrację oraz analizę wielu sygnałów istotnych w wykrywaniu chorób neurodegeneracyjnych. Więcej informacji znajdziecie na stronie https:  lnkd.in eDQcJYiM ",130,123.71844660194175,1.0507729733971591,0.0,0.0,0.9212352965506677,258,5
2,"Sukces naszych studentów w konkursie EKOinnowatorzy 2021!nbsp 10 grudnia w czasie uroczystej Gali Finałowej nieopodal Kopca Kościuszki w Krakowie poznaliśmy laureatów konkursu EKOinnowatorzy w trzech kategoriach głównych oraz siedmiu kategoriach specjalnych. Konkurs ten jest kierowany do studentów uczelni wyższych, zaangażowanych w innowacyjną działalność konstrukcyjną, organizacyjną i naukową z zakresu szeroko rozumianej energetyki i ochrony środowiska.nbsp Wśród nagrodzonych znaleźli się: Koło Naukowe EkoEnergia nagroda główna w kategorii EKOinnowacyjne Koło Naukowenbsp Katarzyna Suchorowiec nagroda główna w kategorii Student EKOinnowator AGH 3D BLDC wyróżnienie w kategorii Potencjał wdrożeniowy Jan Kostecki wyróżnienie w kategorii najlepsze wystąpienie Ponadto, w ścisłym finale wzięli udział: Koło Naukowe AGH Solar Boat Team Koło Naukowe AGH Solar Plane Koło Naukowe Fizyków Bozon Koło Naukowe TD Fuels Łódź autonomiczna do pomiarów środowiskowych (KN AGH Solar Boat) Materiały zmiennofazowe jako reduktory strat cieplnych w przemyśle ( Studenckie Koło Naukowe Nucleus ) WINDY turbina wiatrowa z dyfuzorem o zmiennej średnicy (KN EkoEnergia) Anna Gałuszka Olga Tęcza Izabela Zięcik (energia odnawialna i zarządzanie energią) Izabela Zięcik W tegorocznej edycji konkursu udział wzięli przedstawiciele 12 uczelni wyższych. Pełne wyniki są dostępne na stronie ekoinnowatorzy.pl ",49,123.71844660194175,0.3960605822804677,0.0,0.0,0.6417333423680122,193,15
3,"Grudzień to dobry czas, aby zacząć się zastanawiać nad tym jaki kierunek wybrać na studiach II stopnia! Jedną z propozycji Wydziału Fizyki i Informatyki Stosowanej jest Mikro i Nanotechnologia w Biofizyce Jakie umiejętności będzie posiadał absolwent lub absolwentka po zakończeniu studiów? wytwarzanie, izolowanie i poznawanie własności mikro i nanostruktur nieorganicznych i organicznych (także pochodzenia biologicznego) oraz konstruowania w oparciu o nie układów hybrydowych o szerokim spektrum zastosowań ze względu na unikalne właściwości elektryczne, magnetyczne i optyczne, będzie znać wpływ małych struktur (zarówno pochodzenia naturalnego, jak i będących efektem działalności człowieka) na środowisko naturalne, uzyska wiedzę teoretyczną i praktyczną na temat technik wytwarzania i badania cienkich warstw o pożądanych właściwościach, nabędzie umiejętności projektowania układów elektronicznych o potencjalnym zastosowaniu w szeroko pojętej neuroelektronice, zajęcia praktyczne, laboratoryjne i projektowe oraz praktyki zawodowe przygotowują absolwenta do pracy zespołowej w środowisku interdyscyplinarnym. Po szczegóły zapraszamy na stronę https:  lnkd.in eNZywWci ",7,123.71844660194175,0.05658008318292396,0.0,0.0,0.9237983305214688,163,2
4,"Marzy Ci się przygoda życia? Chcesz zdobyć doświadczenie zawodowe za granicą i połączyć to ze zwiedzaniem świata? IAESTE Akademia GórniczoHutnicza ma dla Ciebie świetną propozycję!nbsp Organizacja rekrutuje do Międzynarodowego Program Wymiany Akademickiej! Każdego roku w ramach programu dziesiątki studentów AGH mają możliwość wyjazdu na praktyki zagraniczne do jednego z ponad 80 krajów! W trakcie stażu studenci zdobywają doświadczenie zawodowe, a w wolnym czasie zwiedzają najróżniejsze zakątki świata Praktyki odbywają się w okresie wakacyjnym i trwają od 8 do 12 tygodni. Istnieje również możliwość aplikowania na oferty całoroczne. Formularz rejestracyjny jest otwarty do 9 grudnia! Szczegóły znajdziecie pod linkiem https:  lnkd.in eHbiYRdM Chcecie poznać historie osób, które odbyły praktyki w ramach wymiany? Zapraszamy na bloga IAESTE AGH https:  lnkd.in eVwfkGJ ",35,123.71844660194175,0.2829004159146198,0.0,0.0,0.7560440609918513,135,6
5,Fullstack Python Developer Job Fullstack Akademia GórniczoHutnicza im. Stanisława Staszica w Krakowie Kraków No Fluff Jobs,36,123.71844660194175,0.29098328494075176,0.05,0.3,0.24922273045686522,17,2
6," Maciej Skorupski , student Wydział Inżynierii Materiałowej i Ceramiki AGH oraz członek Studenckie Koło Naukowe Nucleus zdobył nagrody indywidualne oraz zespołową na VIII edycji Seeds for the Future organizowanego przez Huawei Enterprise Polska W tym roku z całej Polski wybrano 45 uczestników, w tym 2 studentów AGH . Uczestnicy brali udział w szkoleniach oraz warsztatach tematycznych. Na początku uczestnicy zostali również podzieleni na 4 zespoły, które podczas trwania całego wydarzenia tworzyły projekt na konkurs Tech4Good. Zespół, którego członkiem był Maciek stworzył projekt wczesnego ostrzegania kierowców na drogach leśnych o pojawieniu się zwierząt blisko drogi. Wykorzystuje on system oparty o technologię 5G, a dodatkowo, budowa systemów przewiduje korzystanie z materiałów trudno recyklingowych i ma również pomoc w oczyszczeniu środowiska. Projekt zostanie zaprezentowany podczas finału globalnego. Oprócz tego Maciej zdobył 2 wyróżnienia w kategoriach indywidualnych: II miejsce w TOP10 studentów VIII edycji programu, tytuł laureata w kat. Outstanding Student, której nagrodą jest udział w wydarzeniu Huawei Talent Summit organizowanym w Finlandii. Gratulujemy i trzymamy kciuki za dalsze działania! Seeds for the Future to program edukacyjny skierowany do studentów uczelni technicznych na całym świecie. W poprzedniej edycji wzięło udział 3000 uczestników ze 103 krajów.nbspJest to 8dniowy edukacyjny program obejmujący szkolenia i kursy z zakresu 5G, AI, IoT, Cloud oraz Smart City. Wydarzenie było prowadzone w formie online, zaś ostatni dzień (warsztaty i Gala Finałowa) odbył się stacjonarnie w Warszawie. W Polsce 13 uczelni wyższych jest uczelniami partnerskimi konkursu, w tym AGH . ai tech talent ",47,123.71844660194175,0.3798948442282037,0.20982142857142858,0.4419642857142857,0.8135210513504413,271,14
7,"Wraz ze spółką GAZSYSTEM po raz kolejny uruchamiamy studia stacjonarne II stopnia o profilu praktycznym, czyli studia dualne, na kierunku Inżynieria Naftowa i Gazownicza. Studia będą realizowane na Wydziale Wiertnictwa, Nafty i Gazu AGH Celem studiów jest przygotowanie absolwentów o wysokich, specjalistycznych kwalifikacjach zawodowych, którzy będą uczestniczyć w rozwiązywaniu najbardziej wymagających wyzwań branży energetycznej. Kierunek zapewnia stabilizację zawodową, a także samorealizację i uczestnictwo w projekcie transformacji energetycznej Czas przewidziany na praktyki to łącznie 3,5 miesiąca. Będzie to idealne uzupełnienie wiedzy teoretycznej o wiedzę praktyczną i umiejętności wykorzystywane przy eksploatacji obiektów gazowej sieci przesyłowej. Najlepsi absolwenci studiów dualnych będą mieli możliwość podjęcia zatrudnienia oraz odbycia staży w GAZSYSTEM. Ukończenie studiów na kierunku INiG uprawnia m.in . do ubiegania się o uzyskanie uprawnień budowlanych w specjalności instalacyjnej w zakresie sieci, instalacji i urządzeń cieplnych, wentylacyjnych, gazowych, wodociągowych i kanalizacyjnych bez ograniczeń. Rekrutacja na studia rusza stycznia. Zachęcamy do zapoznania się ze szczegółowym opisem kierunku https:  lnkd.in ejGndmTV ",24,123.71844660194175,0.19398885662716786,0.0,0.0,0.8916170139439701,174,7
8,"Macie pomysł na swój biznes, ale nie do końca wiecie jak się za to zabrać? Opracowaliście nowinkę technologiczną i chcielibyście to spieniężyć? A może myślicie o prowadzeniu biznesu, ale póki co nie macie pomysłu i nie wiecie od czego zacząć? Razem z Krakowskie Centrum Innowacyjnych Technologii INNOAGH sp. z o.o. oraz Centrum Transferu Technologii AGH wychodzimy Wam naprzeciw! nbsp Zapraszamy Was do udziału w Dniu Otwartym Przedsiębiorczości Akademickiej AGH, który odbędzie się 30 listopada 2021 roku o godz. 18.00 w Klubie Studio (ul. Budryka 4). nbsp Co Was czeka w trakcie tego wydarzenia? dowiecie się jaką ofertę ma Zespół Przedsiębiorczości Akademickiej dla studentów, doktorantów, pracowników i innych osób ze społeczności AGH, nbsp poznacie case study osób, które współpracowały z INNOAGH i Centrum Transferu Technologii, nbsp historie swoich startupów opowiedzą m.in . Wiktor Warchałowski z Airly , Sebastian Bobrowski z inFakt oraznbsp Michał Grega z Scivi. nbsp Oprócz tego mnóstwo okazji do networkingu, przepyszny poczęstunek i degustacja oferty Browaru Górniczo Hutniczego. nbsp Szczegółowy program znajdziecie na stronie https:  lnkd.in eGuBq5e nbsp Rejestracja pod linkiem https:  lnkd.in enkJzrUz Serdecznie zapraszamy! ",9,123.71844660194175,0.07274582123518794,0.0,0.0,0.812652029162205,208,19
9,"Ponad 30 projektów z AGH otrzymało granty przyznane przez NCN Narodowe Centrum Nauki w ramach konkursów OPUS oraz PRELUDIUM. Łącznie nasi badacze otrzymają ponad 19 mln zł na badania realizowane indywidualnie i we współpracy z partnerami W konkursie OPUS zakwalifikowało się 15 projektów indywidualnych oraz 3 projekty, które będą realizowane w konsorcjum z innymi podmiotami. Natomiast w konkursie PRELUDIUM finansowanie otrzyma 14 projektów indywidualnych oraz 1 konsorcjalny. Wśród projektów z naszej uczelni znalazły się m.in .:nbsp Spintronika z użyciem izolujących antyferromagnetyków od właściwości fundamentalnych do zastosowań. Badania mikrofalowych czujników gazu na bazie wybranych tlenków metali analiza teoretyczna i eksperymentalna. Formowanie i adaptacja. Rola religii w konstruowaniu tożsamości organizacyjnej uczelni katolickich w Polsce. Sterowanie mikrostrukturą warstwy wierzchniej odlewów z żeliwa wysokojakościowego wykonanych w formach piaskowych z konformalnymi kanałami chłodzącymi wytworzonych metodą przyrostową. Innowacyjne podejście do projektowania elektrod powietrznych dla technologii stałotlenkowych ogniw paliwowych i elektrolizerów funkcjonalne materiały tlenkowe o wysokiej entropii. nbsp W konkursie OPUS 21 złożono 2314 wniosków, z których do finansowania zakwalifikowało się 417. W konkursie PRELUDIUM 20 sukces odniosło 495 spośród 2217 wnioskodawców. Gratulacje! Pełną listę naszych projektów można znaleźć na stronie https:  lnkd.in eKngY3jm ",139,123.71844660194175,1.123518794632347,0.0,0.0,0.799481291244467,203,3
